日期,1-1000,1001-2000,2001-3000,3001-4000,4001-5000,5001-6000
4/26,116.76,115.71,115.21,114.67,113.96,113.13
4/27,116.88,115.80,115.29,114.80,114.17,113.42
4/28,116.96,115.83,115.33,114.84,114.29,113.50
4/29,117.05,115.88,115.38,114.92,114.42,113.72
4/30,117.21,115.88,115.42,115.00,114.50,113.88
5/1,117.25,115.96,115.47,115.04,114.55,113.97
5/2,117.25,115.97,115.50,115.05,114.55,114.00
5/3,117.25,115.97,115.50,115.05,114.58,114.01
5/4,117.25,116.00,115.50,115.05,114.59,114.04
5/5,117.26,116.00,115.50,115.05,114.59,114.05
5/6,117.29,116.00,115.50,115.05,114.59,114.05
5/7,117.33,116.01,115.51,115.09,114.63,114.13
5/8,117.38,116.05,115.55,115.13,114.68,114.21
5/9,117.42,116.09,115.55,115.13,114.71,114.25
5/10,117.42,116.12,115.58,115.17,114.72,114.26
5/11,117.47,116.13,115.59,115.17,114.75,114.30
5/12,117.50,116.17,115.59,115.17,114.76,114.33
5/13,117.50,116.17,115.59,115.17,114.79,114.34
5/14,117.54,116.17,115.59,115.21,114.80,114.34
5/15,117.55,116.17,115.63,115.21,114.80,114.38
5/16,117.58,116.21,115.63,115.22,114.83,114.38
5/17,117.59,116.21,115.63,115.22,114.83,114.42
5/18,117.62,116.22,115.63,115.25,114.84,114.42
5/21,117.63,116.25,115.63,115.25,114.84,114.42
6/6,117.63,116.25,115.67,115.25,114.84,114.45
6/26,117.63,116.26,115.63,115.25,114.84,114.46
7/13,117.63,116.26,115.63,115.25,114.84,114.46
