日期,1-1000,1001-2000,2001-3000,3001-4000,4001-5000,5001-6000
(8)4/25,120.34,119.42,118.42,117.42,116.38,115.30
4/26,120.34,119.46,118.50,117.51,116.50,115.50
*4/27,120.38,119.54,118.67,117.76,116.88,116.00
4/28,120.42,119.58,118.72,117.88,117.04,116.17
4/29,120.42,119.63,118.79,117.96,117.16,116.34
4/30,120.42,119.63,118.84,118.01,117.26,116.47
5/1,120.42,119.63,118.84,118.04,117.29,116.50
*5/2,120.42,119.63,118.84,118.05,117.30,116.54
*5/3,120.42,119.67,118.84,118.05,117.30,116.55
*5/4,120.42,119.67,118.87,118.05,117.30,116.55
*5/5,120.46,119.67,118.88,118.05,117.34,116.59
*5/6,120.46,119.67,118.91,118.13,117.42,116.75
5/7,120.50,119.71,118.96,118.17,117.54,116.88
5/8,120.50,119.72,118.97,118.21,117.58,116.97
5/9,120.54,119.75,119.00,118.25,117.63,117.04
5/10,120.54,119.75,119.00,118.26,117.67,117.08
*5/11,120.54,119.75,119.01,118.26,117.67,117.08
*5/12,120.55,119.76,119.04,118.30,117.71,117.17
5/13,120.58,119.79,119.05,118.33,117.72,117.21
5/14,120.58,119.79,119.08,118.34,117.76,117.26
5/15,120.58,119.79,119.08,118.34,117.80,117.29
5/16,120.59,119.80,119.08,118.34,117.80,117.29
$5/17,120.59,119.80,119.08,118.34,117.80,117.29
5/20,120.59,119.80,119.09,118.34,117.80,117.30
5/23,120.59,119.80,119.09,118.38,117.80,117.30
5/27,120.63,119.80,119.09,118.38,117.83,117.30
6/4,120.63,119.80,119.09,118.38,117.84,117.33
