日期,1-1000,1001-2000,2001-3000,3001-4000,4001-5000,5001-6000
4/21,112.00,111.05,110.47,109.88,109.17,108.38
4/22,112.13,111.13,110.59,110.05,109.38,108.72
4/23,112.17,111.17,110.67,110.09,109.50,108.84
4/24,112.25,111.22,110.71,110.21,109.63,109.05
4/25,112.30,111.29,110.79,110.29,109.75,109.21
4/26,112.34,111.30,110.83,110.33,109.84,109.30
4/27,112.42,111.34,110.84,110.38,109.92,109.38
4/28,112.46,111.34,110.88,110.42,109.96,109.42
4/29,112.50,111.38,110.90,110.46,110.00,109.50
4/30,112.50,111.38,110.92,110.46,110.00,109.50
5/1,112.51,111.38,110.92,110.46,110.00,109.51
5/2,112.51,111.38,110.92,110.46,110.01,109.51
5/3,112.51,111.38,110.92,110.46,110.01,109.51
5/4,112.51,111.38,110.92,110.46,110.04,109.55
5/5,112.58,111.42,110.96,110.50,110.08,109.59
5/6,112.63,111.42,110.96,110.51,110.09,109.67
5/7,112.63,111.46,110.97,110.55,110.13,109.67
5/8,112.67,111.46,111.00,110.55,110.13,109.68
5/9,112.67,111.47,111.00,110.58,110.17,109.72
5/10,112.71,111.50,111.00,110.59,110.17,109.75
5/11,112.72,111.51,111.01,110.63,110.21,109.79
5/12,112.76,111.54,111.04,110.63,110.21,109.83
5/13,112.80,111.58,111.05,110.63,110.25,109.84
5/14,112.80,111.58,111.05,110.64,110.25,109.84
5/15,112.80,111.58,111.05,110.64,110.25,109.84
5/16,112.83,111.59,111.05,110.67,110.25,109.84
5/18,112.88,111.63,111.08,110.67,110.26,109.88
